annotation_id,system_id,query_id,explanation_text_excerpt,annotator_1,annotator_2,annotator_3,majority_label,dim_accuracy_mean,dim_completeness_mean,dim_no_post_hoc_mean,dim_source_mean,annotator_1_confidence,annotator_2_confidence,annotator_3_confidence,fleiss_kappa_batch,annotation_date,adjudicated
TI2-0001,S1,S1-Q13245,Explanation excerpt 1 from Customer Support Chatbot.,UNFAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.92,0.678,0.657,0.729,3,4,3,0.614,2024-12-04,0
TI2-0002,S2,S2-Q09391,Explanation excerpt 2 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.869,0.539,0.945,0.741,5,4,4,0.614,2024-10-17,0
TI2-0003,S3,S3-Q20381,Explanation excerpt 3 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.926,0.775,0.828,0.582,5,3,3,0.614,2024-11-29,0
TI2-0004,S4,S4-Q37851,Explanation excerpt 4 from Medical Triage Assistant.,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.865,0.756,0.713,0.624,5,4,3,0.614,2024-11-06,0
TI2-0005,S1,S1-Q10322,Explanation excerpt 5 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.696,0.506,0.837,0.74,3,4,3,0.614,2024-10-27,0
TI2-0006,S2,S2-Q16045,Explanation excerpt 6 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.66,0.625,0.918,0.75,5,4,5,0.614,2024-10-07,0
TI2-0007,S3,S3-Q05644,Explanation excerpt 7 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.749,0.572,0.829,0.769,3,4,3,0.614,2024-12-28,0
TI2-0008,S4,S4-Q34963,Explanation excerpt 8 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.627,0.869,0.879,0.76,3,5,5,0.614,2024-10-12,0
TI2-0009,S1,S1-Q42233,Explanation excerpt 9 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,UNFAITHFUL,FAITHFUL,UNFAITHFUL,0.849,0.686,0.72,0.633,4,4,5,0.614,2024-12-18,1
TI2-0010,S2,S2-Q29707,Explanation excerpt 10 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.771,0.526,0.684,0.727,5,4,4,0.614,2024-10-22,0
TI2-0011,S3,S3-Q46811,Explanation excerpt 11 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.879,0.63,0.845,0.843,5,3,4,0.614,2024-12-08,0
TI2-0012,S4,S4-Q31613,Explanation excerpt 12 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.734,0.636,0.894,0.769,3,5,3,0.614,2024-11-25,0
TI2-0013,S1,S1-Q05105,Explanation excerpt 13 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.859,0.785,0.901,0.592,3,5,5,0.614,2024-12-16,0
TI2-0014,S2,S2-Q04562,Explanation excerpt 14 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.809,0.774,0.829,0.853,3,4,4,0.614,2024-11-11,0
TI2-0015,S3,S3-Q00013,Explanation excerpt 15 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.865,0.764,0.786,0.658,3,5,5,0.614,2024-12-18,0
TI2-0016,S4,S4-Q44536,Explanation excerpt 16 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.707,0.877,0.78,0.914,4,4,5,0.614,2024-11-14,0
TI2-0017,S1,S1-Q19280,Explanation excerpt 17 from Customer Support Chatbot.,UNFAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.622,0.86,0.94,0.55,5,4,3,0.614,2024-12-11,0
TI2-0018,S2,S2-Q46021,Explanation excerpt 18 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.807,0.75,0.864,0.7,3,3,4,0.614,2024-11-25,0
TI2-0019,S3,S3-Q23612,Explanation excerpt 19 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.894,0.562,0.949,0.798,3,5,4,0.614,2024-10-18,0
TI2-0020,S4,S4-Q08899,Explanation excerpt 20 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.63,0.757,0.775,0.719,4,5,4,0.614,2024-12-29,0
TI2-0021,S1,S1-Q29495,Explanation excerpt 21 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.735,0.59,0.777,0.553,5,4,5,0.614,2024-12-03,0
TI2-0022,S2,S2-Q24050,Explanation excerpt 22 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.612,0.515,0.795,0.686,4,5,5,0.614,2024-12-14,0
TI2-0023,S3,S3-Q30471,Explanation excerpt 23 from Document Summarization and QA.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.781,0.709,0.833,0.641,5,5,4,0.614,2024-12-20,0
TI2-0024,S4,S4-Q20480,Explanation excerpt 24 from Medical Triage Assistant.,PARTIALLY_FAITHFUL,UNFAITHFUL,FAITHFUL,UNFAITHFUL,0.815,0.861,0.811,0.554,5,5,5,0.614,2024-11-28,1
TI2-0025,S1,S1-Q18954,Explanation excerpt 25 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.659,0.778,0.829,0.663,4,4,4,0.614,2024-12-12,0
TI2-0026,S2,S2-Q19121,Explanation excerpt 26 from AI Code Assistant IDE Plugin.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.883,0.75,0.736,0.581,5,3,5,0.614,2024-12-04,0
TI2-0027,S3,S3-Q16840,Explanation excerpt 27 from Document Summarization and QA.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.605,0.545,0.702,0.769,5,4,4,0.614,2024-10-20,0
TI2-0028,S4,S4-Q11850,Explanation excerpt 28 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.88,0.845,0.753,0.581,5,3,4,0.614,2024-10-19,0
TI2-0029,S1,S1-Q43298,Explanation excerpt 29 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.754,0.755,0.713,0.822,4,4,3,0.614,2024-11-14,0
TI2-0030,S2,S2-Q26133,Explanation excerpt 30 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.767,0.691,0.934,0.891,3,3,4,0.614,2024-10-30,0
TI2-0031,S3,S3-Q00778,Explanation excerpt 31 from Document Summarization and QA.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.701,0.819,0.765,0.667,3,5,4,0.614,2024-12-07,0
TI2-0032,S4,S4-Q40009,Explanation excerpt 32 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,UNFAITHFUL,FAITHFUL,0.921,0.843,0.75,0.649,5,4,4,0.614,2024-10-13,0
TI2-0033,S1,S1-Q48124,Explanation excerpt 33 from Customer Support Chatbot.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.835,0.808,0.806,0.801,5,5,3,0.614,2024-10-24,0
TI2-0034,S2,S2-Q06403,Explanation excerpt 34 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.784,0.774,0.755,0.818,3,3,4,0.614,2024-11-02,0
TI2-0035,S3,S3-Q39282,Explanation excerpt 35 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.823,0.783,0.686,0.867,5,5,3,0.614,2024-10-17,0
TI2-0036,S4,S4-Q12076,Explanation excerpt 36 from Medical Triage Assistant.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.689,0.687,0.931,0.786,3,3,5,0.614,2024-11-05,0
TI2-0037,S1,S1-Q04850,Explanation excerpt 37 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.697,0.525,0.767,0.919,4,4,3,0.614,2024-11-03,0
TI2-0038,S2,S2-Q25732,Explanation excerpt 38 from AI Code Assistant IDE Plugin.,UNFAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.662,0.697,0.693,0.834,4,3,5,0.614,2024-10-28,0
TI2-0039,S3,S3-Q04779,Explanation excerpt 39 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.625,0.791,0.883,0.557,4,3,3,0.614,2024-12-03,0
TI2-0040,S4,S4-Q09936,Explanation excerpt 40 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,UNFAITHFUL,FAITHFUL,0.845,0.862,0.822,0.741,5,4,4,0.614,2024-12-02,0
TI2-0041,S1,S1-Q00217,Explanation excerpt 41 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.735,0.776,0.884,0.595,3,5,3,0.614,2024-12-08,0
TI2-0042,S2,S2-Q42407,Explanation excerpt 42 from AI Code Assistant IDE Plugin.,UNFAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.632,0.714,0.938,0.58,4,3,5,0.614,2024-11-28,1
TI2-0043,S3,S3-Q43302,Explanation excerpt 43 from Document Summarization and QA.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.667,0.778,0.919,0.783,5,3,4,0.614,2024-11-15,0
TI2-0044,S4,S4-Q12655,Explanation excerpt 44 from Medical Triage Assistant.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.609,0.899,0.722,0.694,3,3,3,0.614,2024-12-09,0
TI2-0045,S1,S1-Q22236,Explanation excerpt 45 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,FAITHFUL,UNFAITHFUL,UNFAITHFUL,0.62,0.815,0.663,0.594,4,3,3,0.614,2024-12-23,1
TI2-0046,S2,S2-Q37969,Explanation excerpt 46 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.682,0.529,0.871,0.731,5,3,5,0.614,2024-10-03,0
TI2-0047,S3,S3-Q00942,Explanation excerpt 47 from Document Summarization and QA.,FAITHFUL,UNFAITHFUL,FAITHFUL,FAITHFUL,0.66,0.52,0.742,0.844,5,5,3,0.614,2024-11-28,0
TI2-0048,S4,S4-Q38993,Explanation excerpt 48 from Medical Triage Assistant.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.88,0.588,0.891,0.708,3,3,4,0.614,2024-12-26,0
TI2-0049,S1,S1-Q13975,Explanation excerpt 49 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.867,0.737,0.751,0.595,5,3,4,0.614,2024-10-19,0
TI2-0050,S2,S2-Q38142,Explanation excerpt 50 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.614,0.54,0.904,0.777,3,4,3,0.614,2024-10-21,0
TI2-0051,S3,S3-Q42714,Explanation excerpt 51 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.808,0.613,0.858,0.843,3,3,5,0.635,2024-11-30,0
TI2-0052,S4,S4-Q15680,Explanation excerpt 52 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.928,0.744,0.661,0.617,5,4,4,0.635,2024-12-03,0
TI2-0053,S1,S1-Q00300,Explanation excerpt 53 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.795,0.577,0.946,0.911,4,4,4,0.635,2024-12-19,0
TI2-0054,S2,S2-Q43210,Explanation excerpt 54 from AI Code Assistant IDE Plugin.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.673,0.521,0.684,0.605,3,4,5,0.635,2024-11-30,0
TI2-0055,S3,S3-Q18682,Explanation excerpt 55 from Document Summarization and QA.,FAITHFUL,FAITHFUL,UNFAITHFUL,FAITHFUL,0.673,0.601,0.835,0.879,3,5,4,0.635,2024-11-28,0
TI2-0056,S4,S4-Q31789,Explanation excerpt 56 from Medical Triage Assistant.,FAITHFUL,PARTIALLY_FAITHFUL,UNFAITHFUL,UNFAITHFUL,0.78,0.528,0.721,0.715,3,3,3,0.635,2024-12-14,1
TI2-0057,S1,S1-Q21374,Explanation excerpt 57 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.68,0.595,0.774,0.624,4,3,3,0.635,2024-10-29,0
TI2-0058,S2,S2-Q39940,Explanation excerpt 58 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.759,0.655,0.691,0.816,4,3,3,0.635,2024-12-20,0
TI2-0059,S3,S3-Q03910,Explanation excerpt 59 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.698,0.544,0.79,0.705,3,5,5,0.635,2024-11-13,0
TI2-0060,S4,S4-Q37888,Explanation excerpt 60 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.94,0.842,0.676,0.867,5,5,3,0.635,2024-12-02,0
TI2-0061,S1,S1-Q47843,Explanation excerpt 61 from Customer Support Chatbot.,UNFAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.75,0.849,0.724,0.711,4,4,3,0.635,2024-10-29,0
TI2-0062,S2,S2-Q02899,Explanation excerpt 62 from AI Code Assistant IDE Plugin.,UNFAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.614,0.688,0.881,0.562,5,3,4,0.635,2024-12-07,0
TI2-0063,S3,S3-Q15763,Explanation excerpt 63 from Document Summarization and QA.,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.629,0.801,0.858,0.7,3,4,4,0.635,2024-10-28,0
TI2-0064,S4,S4-Q43846,Explanation excerpt 64 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.707,0.781,0.907,0.826,3,3,4,0.635,2024-10-04,0
TI2-0065,S1,S1-Q24276,Explanation excerpt 65 from Customer Support Chatbot.,UNFAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.819,0.782,0.65,0.782,5,4,3,0.635,2024-11-19,0
TI2-0066,S2,S2-Q40141,Explanation excerpt 66 from AI Code Assistant IDE Plugin.,UNFAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.79,0.818,0.886,0.58,4,4,5,0.635,2024-11-12,0
TI2-0067,S3,S3-Q07273,Explanation excerpt 67 from Document Summarization and QA.,PARTIALLY_FAITHFUL,FAITHFUL,UNFAITHFUL,UNFAITHFUL,0.734,0.686,0.662,0.686,5,4,3,0.635,2024-12-22,1
TI2-0068,S4,S4-Q15640,Explanation excerpt 68 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.789,0.76,0.871,0.828,3,3,4,0.635,2024-12-29,0
TI2-0069,S1,S1-Q44580,Explanation excerpt 69 from Customer Support Chatbot.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.748,0.522,0.762,0.717,4,4,5,0.635,2024-12-04,0
TI2-0070,S2,S2-Q29621,Explanation excerpt 70 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.817,0.82,0.934,0.849,5,5,4,0.635,2024-10-09,0
TI2-0071,S3,S3-Q05043,Explanation excerpt 71 from Document Summarization and QA.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.638,0.61,0.859,0.734,4,3,4,0.635,2024-10-27,0
TI2-0072,S4,S4-Q31058,Explanation excerpt 72 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.721,0.678,0.843,0.658,5,5,3,0.635,2024-10-09,0
TI2-0073,S1,S1-Q26981,Explanation excerpt 73 from Customer Support Chatbot.,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.803,0.762,0.886,0.73,5,5,4,0.635,2024-12-25,0
TI2-0074,S2,S2-Q20087,Explanation excerpt 74 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,0.66,0.604,0.795,0.909,4,5,3,0.635,2024-10-07,0
TI2-0075,S3,S3-Q35083,Explanation excerpt 75 from Document Summarization and QA.,FAITHFUL,FAITHFUL,UNFAITHFUL,FAITHFUL,0.7,0.889,0.902,0.806,5,3,5,0.635,2024-12-25,0
TI2-0076,S4,S4-Q28895,Explanation excerpt 76 from Medical Triage Assistant.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.691,0.574,0.819,0.563,4,5,3,0.635,2024-11-10,0
TI2-0077,S1,S1-Q07962,Explanation excerpt 77 from Customer Support Chatbot.,UNFAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.922,0.662,0.8,0.604,3,5,4,0.635,2024-11-28,0
TI2-0078,S2,S2-Q42418,Explanation excerpt 78 from AI Code Assistant IDE Plugin.,UNFAITHFUL,FAITHFUL,UNFAITHFUL,UNFAITHFUL,0.847,0.69,0.737,0.899,5,5,4,0.635,2024-12-13,0
TI2-0079,S3,S3-Q07361,Explanation excerpt 79 from Document Summarization and QA.,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.856,0.86,0.692,0.754,4,4,5,0.635,2024-11-09,0
TI2-0080,S4,S4-Q03607,Explanation excerpt 80 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.813,0.578,0.808,0.839,4,3,4,0.635,2024-11-05,0
TI2-0081,S1,S1-Q33541,Explanation excerpt 81 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.738,0.696,0.831,0.739,5,5,3,0.635,2024-10-08,0
TI2-0082,S2,S2-Q24434,Explanation excerpt 82 from AI Code Assistant IDE Plugin.,UNFAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.604,0.638,0.742,0.715,4,4,4,0.635,2024-12-11,0
TI2-0083,S3,S3-Q10735,Explanation excerpt 83 from Document Summarization and QA.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.882,0.888,0.777,0.882,4,4,4,0.635,2024-10-18,0
TI2-0084,S4,S4-Q21982,Explanation excerpt 84 from Medical Triage Assistant.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.623,0.884,0.877,0.583,4,4,5,0.635,2024-11-22,0
TI2-0085,S1,S1-Q49496,Explanation excerpt 85 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.92,0.58,0.9,0.657,4,5,5,0.635,2024-12-02,0
TI2-0086,S2,S2-Q48488,Explanation excerpt 86 from AI Code Assistant IDE Plugin.,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.762,0.511,0.651,0.647,4,4,5,0.635,2024-12-21,0
TI2-0087,S3,S3-Q32237,Explanation excerpt 87 from Document Summarization and QA.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.917,0.758,0.659,0.833,4,4,3,0.635,2024-12-03,0
TI2-0088,S4,S4-Q28579,Explanation excerpt 88 from Medical Triage Assistant.,UNFAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.904,0.751,0.793,0.807,5,4,5,0.635,2024-10-16,1
TI2-0089,S1,S1-Q03835,Explanation excerpt 89 from Customer Support Chatbot.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.651,0.684,0.858,0.682,4,3,5,0.635,2024-10-07,0
TI2-0090,S2,S2-Q19115,Explanation excerpt 90 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,UNFAITHFUL,FAITHFUL,0.785,0.875,0.804,0.834,4,3,4,0.635,2024-10-24,0
TI2-0091,S3,S3-Q19732,Explanation excerpt 91 from Document Summarization and QA.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.695,0.779,0.759,0.748,4,4,5,0.635,2024-11-15,0
TI2-0092,S4,S4-Q22303,Explanation excerpt 92 from Medical Triage Assistant.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.922,0.565,0.715,0.736,4,4,4,0.635,2024-10-25,0
TI2-0093,S1,S1-Q36118,Explanation excerpt 93 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.846,0.821,0.775,0.889,5,5,5,0.635,2024-10-15,0
TI2-0094,S2,S2-Q09111,Explanation excerpt 94 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,UNFAITHFUL,FAITHFUL,UNFAITHFUL,0.886,0.856,0.829,0.833,4,5,4,0.635,2024-11-13,1
TI2-0095,S3,S3-Q45498,Explanation excerpt 95 from Document Summarization and QA.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.65,0.591,0.688,0.598,3,3,3,0.635,2024-10-11,0
TI2-0096,S4,S4-Q02787,Explanation excerpt 96 from Medical Triage Assistant.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.669,0.513,0.848,0.769,3,4,4,0.635,2024-11-30,0
TI2-0097,S1,S1-Q08113,Explanation excerpt 97 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.922,0.582,0.92,0.618,5,3,3,0.635,2024-11-14,0
TI2-0098,S2,S2-Q23082,Explanation excerpt 98 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.656,0.7,0.869,0.639,4,5,4,0.635,2024-12-12,0
